Name,Gender,Age,Country,HighSchoolName,HighSchoolLocation,HSGA,SAT,GAT,Languages,FirstGenerationCollegeStudent,FinancialAidNeeded,CGPA,CGPA_Category_Predicted
Sheila Butler,Female,17,Germany,Knapp Group School,London,6.0,1348.0,83.0,French,Yes,Yes,1.52,Average
Jessica Schneider,Female,19,Italy,Vargas LLC School,Tokyo,7.0,1568.0,93.0,German,No,Yes,3.65,Excellent
Heather Taylor,Male,17,Mexico,"Padilla, Hobbs and Garcia School",Los Angeles,7.0,1434.0,73.0,French,Yes,Yes,2.24,Good
Brandon Taylor,Female,18,France,Burnett Group School,Tokyo,7.0,1415.0,74.0,Spanish,Yes,No,2.07,Good
Kimberly Carter,Female,19,Turkey,Mcbride-Benson School,Vancouver,6.0,1308.0,84.0,French,Yes,No,1.15,Average
Troy Robinson,Male,17,Mexico,Rowe and Sons School,Chicago,10.0,1347.0,71.0,Spanish,Yes,No,1.43,Average
Mr. Mark Barr,Male,19,Mexico,"Leach, Griffith and Thomas School",Moscow,8.0,1558.0,61.0,French,Yes,Yes,3.3,Excellent
Becky Hooper,Male,17,Colombia,Thompson-French School,New York,9.0,1467.0,89.0,Spanish,Yes,No,2.69,Good
John Morris,Male,18,Argentina,"Clarke, Reed and Hicks School",Houston,9.0,1515.0,85.0,Spanish,No,No,3.1,Excellent
Stefanie Ritter,Male,17,Germany,"Fletcher, Stevens and Krueger School",New York,8.0,1382.0,83.0,German,No,No,1.84,Average
James Gomez,Male,19,India,Mendez-Prince School,Moscow,6.0,1452.0,90.0,French,No,Yes,2.54,Good
Natasha Vaughn,Male,17,Vietnam,Rowe-White School,Houston,8.0,1299.0,87.0,Spanish,No,Yes,1.1,Average
James Henry,Male,19,China,"Dean, Newman and Blanchard School",Vancouver,8.0,1482.0,68.0,English,Yes,No,2.65,Good
David Carlson,Male,18,Russia,Hickman-White School,Houston,9.0,1371.0,74.0,English,No,Yes,1.67,Average
Sarah Barr,Male,17,Pakistan,Richardson PLC School,Paris,8.0,1377.0,65.0,German,Yes,No,1.65,Average
Antonio Burton,Male,19,Argentina,"Wright, Mays and Herrera School",Los Angeles,7.0,1460.0,65.0,German,Yes,Yes,2.42,Good
Jenny Foster,Female,19,Russia,"Sanchez, Palmer and Jimenez School",Toronto,7.0,1575.0,87.0,English,Yes,Yes,3.67,Excellent
Christopher Chen,Female,19,Egypt,"Garcia, Schmidt and Huang School",Toronto,7.0,1226.0,94.0,English,Yes,Yes,0.48,Poor
Darrell Malone,Female,17,Argentina,"Matthews, Chambers and Benton School",Phoenix,9.0,1530.0,99.0,French,No,No,3.36,Excellent
Teresa Tucker,Male,17,Nigeria,Serrano and Sons School,Tokyo,8.0,1317.0,85.0,Spanish,Yes,No,1.26,Average
Michele Harding,Male,17,Spain,Brooks LLC School,Vancouver,7.0,1378.0,67.0,Spanish,Yes,No,1.67,Average
Sarah Watkins,Female,18,Philippines,Rhodes-Cole School,Paris,10.0,1209.0,64.0,German,No,Yes,0.09,Poor
Gary Chen,Male,19,Spain,Hernandez Ltd School,Toronto,8.0,1320.0,93.0,Spanish,Yes,Yes,1.35,Average
Amy Woods,Male,19,Egypt,Erickson-Roberts School,Dubai,7.0,1401.0,83.0,German,Yes,Yes,2.02,Good
Corey Long,Female,18,Bangladesh,"Walker, Eaton and Hughes School",London,6.0,1222.0,85.0,French,Yes,Yes,0.36,Poor
Kristina Romero,Female,18,Australia,"Payne, Page and Thompson School",London,7.0,1396.0,91.0,German,Yes,Yes,2.03,Good
Dennis Wilson,Male,17,Philippines,Patrick-Snyder School,Tokyo,7.0,1571.0,88.0,French,No,No,3.64,Excellent
Mrs. Tina Nelson,Male,17,Mexico,"Martin, Bender and Walker School",Houston,7.0,1242.0,93.0,Spanish,Yes,Yes,0.62,Poor
Jamie Brown,Female,17,India,James and Sons School,New York,7.0,1506.0,62.0,Spanish,No,Yes,2.82,Good
Richard Jordan,Male,17,South Africa,Martin PLC School,Paris,7.0,1364.0,90.0,French,No,Yes,1.73,Average
Micheal Fowler,Female,17,China,Walsh Inc School,Dubai,7.0,1462.0,94.0,Spanish,No,No,2.67,Good
Suzanne Padilla,Female,17,South Africa,Friedman-Gonzales School,Moscow,10.0,1304.0,71.0,English,No,No,1.03,Average
Miguel Jenkins,Male,18,Egypt,Sellers PLC School,Cape Town,6.0,1264.0,86.0,English,Yes,No,0.76,Poor
Kathryn Brewer,Female,18,Australia,Sanders-Phillips School,Beijing,8.0,1264.0,73.0,German,Yes,No,0.66,Poor
Ariana Ortega,Female,18,Vietnam,"Moore, Miller and Berry School",Moscow,8.0,1228.0,98.0,French,No,Yes,0.53,Poor
Andrea Coleman,Male,19,Germany,Mills Ltd School,Toronto,10.0,1274.0,61.0,English,No,No,0.67,Poor
Meredith Jackson,Female,19,Italy,Hutchinson-Johnson School,Beijing,6.0,1466.0,83.0,German,No,Yes,2.61,Good
Bryan Moss Jr.,Female,17,Turkey,Reese-Reed School,Paris,8.0,1553.0,67.0,French,Yes,No,3.3,Excellent
April Phillips,Male,18,Turkey,Bennett and Sons School,Sydney,10.0,1526.0,88.0,Spanish,No,Yes,3.23,Excellent
Russell Brooks,Male,19,South Korea,Singleton-Martinez School,New York,9.0,1474.0,67.0,German,No,Yes,2.57,Good
Matthew Bates,Female,19,Indonesia,Riley-Brewer School,Paris,9.0,1244.0,69.0,German,Yes,Yes,0.45,Poor
Nichole Hartman,Male,18,Thailand,Johnson-Dunn School,Moscow,7.0,1316.0,80.0,English,Yes,No,1.2,Average
Vicki Oneal,Male,19,US,Morrison-Harris School,Cape Town,7.0,1324.0,97.0,Spanish,Yes,Yes,1.41,Average
Nathaniel Jacobson,Female,19,Colombia,"Anthony, Peters and Blackwell School",Chicago,9.0,1300.0,68.0,German,No,Yes,0.96,Poor
Robert Fox,Male,18,France,Parker-Brown School,Phoenix,10.0,1406.0,66.0,English,Yes,Yes,1.94,Average
Julie Lyons,Female,19,Mexico,Cannon-Hernandez School,Cape Town,8.0,1414.0,90.0,Spanish,No,No,2.2,Good
Michelle Flores,Male,18,Turkey,"Cardenas, Lucas and Oconnor School",Los Angeles,8.0,1343.0,80.0,German,No,No,1.46,Average
Sarah Gallegos,Female,19,Philippines,"Quinn, Patel and Ward School",Dubai,7.0,1342.0,96.0,French,Yes,No,1.57,Average
Christopher Schmidt,Female,18,Vietnam,Garcia PLC School,Houston,9.0,1531.0,66.0,French,Yes,Yes,3.1,Excellent
Patricia Freeman,Female,19,UK,Lawrence-Evans School,Vancouver,7.0,1516.0,86.0,English,No,No,3.11,Excellent
Beth Wong,Female,19,Mexico,Hansen Inc School,Paris,7.0,1323.0,69.0,Spanish,Yes,No,1.17,Average
Christine Roberts,Female,18,Australia,Ford-Perez School,London,8.0,1566.0,66.0,French,Yes,Yes,3.42,Excellent
Amanda Andrews,Female,19,Mexico,Brown-Swanson School,Beijing,8.0,1581.0,87.0,Spanish,Yes,Yes,3.73,Excellent
Karen Dodson,Female,18,Egypt,Nelson-Cooper School,Houston,7.0,1331.0,84.0,English,No,Yes,1.37,Average
Scott Garcia,Female,18,Argentina,"Griffin, Juarez and Garcia School",Sydney,6.0,1342.0,90.0,French,Yes,Yes,1.52,Average
Brian Clark,Male,19,Japan,"Snyder, Morgan and Gregory School",Berlin,8.0,1402.0,72.0,English,No,Yes,1.94,Average
Andrea Henderson,Female,17,Australia,Allen Inc School,Cape Town,7.0,1576.0,78.0,French,Yes,No,3.6,Excellent
Eric Mercado,Male,19,Spain,Jackson Ltd School,Vancouver,8.0,1551.0,76.0,English,Yes,Yes,3.36,Excellent
Jorge Newman,Male,17,Australia,Martin Ltd School,Houston,7.0,1241.0,99.0,English,No,No,0.66,Poor
Jill Daniels,Male,17,Egypt,"Calhoun, Brown and Webb School",Los Angeles,8.0,1357.0,72.0,German,No,Yes,1.52,Average
Ryan Tran,Male,19,Brazil,Harris-Floyd School,Los Angeles,8.0,1421.0,72.0,French,Yes,Yes,2.12,Good
Manuel Rivera,Female,17,South Korea,"French, Williams and Jackson School",Toronto,6.0,1401.0,74.0,Spanish,No,Yes,1.94,Average
Dr. Gabriel Sanders DVM,Male,18,Mexico,"Spencer, Alvarez and Stevenson School",Sydney,7.0,1278.0,83.0,English,Yes,Yes,0.87,Poor
Robert Smith,Male,18,Iran,"Mathews, Delgado and Harris School",Tokyo,7.0,1544.0,70.0,Spanish,No,No,3.24,Excellent
Lacey Burton,Female,17,Mexico,Lopez-Duran School,Berlin,6.0,1471.0,97.0,German,Yes,Yes,2.78,Good
Anthony Nelson,Male,18,Germany,"Sullivan, Russell and Webb School",Chicago,10.0,1535.0,71.0,English,No,Yes,3.18,Excellent
Robert Scott,Female,19,Vietnam,Graves-Bishop School,Phoenix,7.0,1544.0,96.0,Spanish,Yes,Yes,3.45,Excellent
Teresa Barnett,Female,18,South Korea,Parrish-Stone School,Chicago,9.0,1499.0,64.0,Spanish,Yes,No,2.78,Good
Sean Brady,Female,17,Pakistan,Conrad-Macdonald School,Beijing,7.0,1376.0,86.0,German,No,Yes,1.81,Average
Jason Holloway,Female,19,Egypt,Bradley and Sons School,Houston,9.0,1444.0,96.0,English,No,No,2.53,Good
Michael Irwin,Female,18,South Korea,"Reed, Jones and Mckee School",Vancouver,9.0,1264.0,67.0,German,No,Yes,0.62,Poor
Jacqueline Freeman,Male,19,India,"Durham, Harvey and Callahan School",Phoenix,8.0,1469.0,99.0,Spanish,Yes,No,2.78,Good
Candice Rodriguez,Male,17,Spain,Higgins and Sons School,Toronto,8.0,1272.0,78.0,English,Yes,No,0.78,Poor
Cathy Crosby,Male,18,Russia,Mcconnell Group School,Dubai,8.0,1478.0,98.0,Spanish,Yes,Yes,2.86,Good
George Walters,Female,19,South Korea,Fitzgerald-Miller School,Moscow,7.0,1292.0,87.0,French,Yes,Yes,1.03,Average
Mr. William Rojas,Male,19,India,Orozco-Clayton School,Sydney,10.0,1247.0,72.0,German,Yes,Yes,0.51,Poor
Ashlee Peterson,Male,18,France,Simpson-Daniel School,Vancouver,9.0,1266.0,68.0,Spanish,No,No,0.65,Poor
April Nelson,Male,19,Colombia,"Lee, Rodriguez and Conley School",Moscow,10.0,1201.0,72.0,French,No,No,0.08,Poor
Sandra Jones,Female,19,Mexico,Giles-Rivers School,Paris,6.0,1487.0,64.0,French,Yes,Yes,2.66,Good
Jacob Garcia,Male,17,Italy,Roberson Inc School,Paris,9.0,1493.0,66.0,English,No,No,2.74,Good
Kari Gutierrez,Male,17,Australia,Blake-Paul School,Vancouver,10.0,1406.0,64.0,French,Yes,No,1.92,Average
Kenneth Brown,Male,17,UK,Davis-Mckenzie School,Paris,7.0,1265.0,77.0,French,No,Yes,0.7,Poor
Richard Brown,Female,17,Spain,"Jackson, Winters and Cordova School",Cape Town,6.0,1233.0,92.0,French,No,No,0.52,Poor
Michael Barron,Female,17,Colombia,Odonnell-Meyer School,Paris,9.0,1208.0,66.0,German,Yes,Yes,0.09,Poor
Abigail Russell,Male,17,Italy,"Gomez, Taylor and Arnold School",London,8.0,1266.0,65.0,English,No,Yes,0.62,Poor
Carla Knight,Male,18,China,Santiago-Thompson School,London,9.0,1556.0,86.0,French,Yes,No,3.49,Excellent
Karen Villanueva,Female,17,Egypt,Davis-Mcgee School,Sydney,7.0,1297.0,68.0,French,No,Yes,0.92,Poor
Carolyn Snyder,Male,19,Nigeria,"Quinn, Kelly and Franklin School",Sydney,9.0,1342.0,64.0,Spanish,Yes,No,1.32,Average
Richard Cox,Female,18,Canada,Jackson-Robinson School,Cape Town,7.0,1242.0,67.0,French,Yes,No,0.4,Poor
Steven Sanchez,Male,19,Turkey,Rojas PLC School,Los Angeles,7.0,1289.0,97.0,Spanish,No,Yes,1.09,Average
Gregory Campbell,Male,17,Turkey,"Howard, Mitchell and Lane School",Paris,7.0,1408.0,93.0,Spanish,Yes,No,2.16,Good
Jeffrey Powers,Male,17,Spain,"Gutierrez, Johnson and Howell School",Toronto,9.0,1443.0,74.0,English,No,Yes,2.34,Good
Jay Griffith,Female,19,Bangladesh,Donovan-Mccarthy School,Houston,9.0,1298.0,86.0,French,Yes,Yes,1.09,Average
Warren Bailey,Female,19,Spain,"Arnold, Brown and Preston School",Chicago,8.0,1223.0,81.0,English,Yes,Yes,0.35,Poor
Monica White,Female,19,India,Terrell Ltd School,Vancouver,7.0,1356.0,87.0,French,Yes,Yes,1.63,Average
Susan Rice,Male,18,Spain,Johnson-Ruiz School,Berlin,10.0,1294.0,87.0,Spanish,Yes,Yes,1.07,Average
Kevin Oliver,Male,17,Philippines,Crawford-Stephens School,Berlin,8.0,1288.0,85.0,German,Yes,No,0.99,Poor
Ashley Diaz,Male,19,Brazil,"Lawson, Herrera and Stanley School",London,9.0,1584.0,71.0,French,Yes,Yes,3.63,Excellent
Rachael Hart,Female,17,Thailand,"Macias, York and Mccarthy School",Los Angeles,8.0,1447.0,62.0,French,No,Yes,2.28,Good
Pamela Lee,Female,19,South Africa,"Salinas, Russell and Pennington School",Chicago,8.0,1423.0,78.0,German,Yes,No,2.18,Good
Maria Montgomery,Male,17,Thailand,"Baker, Pratt and Carr School",Vancouver,8.0,1366.0,96.0,English,Yes,Yes,1.8,Average
Karen Calderon,Male,18,Australia,Young LLC School,Sydney,7.0,1372.0,83.0,English,Yes,Yes,1.75,Average
Donald Rodriguez,Female,17,Iran,Harper-Hampton School,Chicago,9.0,1416.0,93.0,German,Yes,Yes,2.25,Good
Ronnie Davis,Male,19,Philippines,Dixon and Sons School,Toronto,8.0,1479.0,100.0,German,No,No,2.89,Good
Kathryn Wheeler,Female,17,Brazil,Mcdonald-Williams School,Moscow,7.0,1481.0,67.0,English,Yes,No,2.63,Good
Lauren Ross,Male,18,Vietnam,Silva Group School,New York,10.0,1269.0,88.0,English,No,No,0.84,Poor
Barbara Collins,Female,18,Bangladesh,Hunt and Sons School,Cape Town,8.0,1400.0,87.0,Spanish,Yes,No,2.04,Good
Jack Ross,Female,17,Mexico,"Reid, Clark and Edwards School",Moscow,8.0,1365.0,99.0,French,No,Yes,1.82,Average
Mario Rodriguez,Female,19,Indonesia,Sanchez-Mckinney School,Los Angeles,10.0,1548.0,99.0,German,No,Yes,3.53,Excellent
Crystal Livingston,Male,18,Vietnam,Daugherty PLC School,Vancouver,8.0,1453.0,87.0,Spanish,No,No,2.54,Good
Billy Chavez,Female,18,Thailand,Orr PLC School,Moscow,6.0,1413.0,70.0,French,Yes,No,2.02,Good
Patricia Norris,Female,17,Vietnam,Allen Ltd School,Sydney,10.0,1246.0,92.0,English,No,Yes,0.66,Poor
Donald Hayes,Female,18,UK,Evans Group School,Toronto,9.0,1442.0,64.0,English,No,No,2.25,Good
William Kemp,Female,18,US,Holmes-Graham School,Tokyo,7.0,1247.0,91.0,French,No,No,0.65,Poor
Hannah Lopez DDS,Male,19,Germany,Cruz-Holland School,Dubai,7.0,1335.0,96.0,German,No,Yes,1.51,Average
Connie Delacruz,Female,19,Vietnam,"Johnson, Stone and Tanner School",Beijing,9.0,1257.0,75.0,German,Yes,Yes,0.62,Poor
Alexis Ford,Female,19,Italy,Smith-Harris School,Houston,8.0,1477.0,85.0,English,Yes,No,2.74,Good
Becky Davis,Female,17,Turkey,Spencer LLC School,Toronto,8.0,1283.0,77.0,German,No,Yes,0.87,Poor
Keith Watson,Male,18,Italy,Meza PLC School,Houston,10.0,1357.0,78.0,Spanish,Yes,Yes,1.58,Average
Betty Lewis,Female,17,Spain,"Espinoza, Rodriguez and Whitaker School",Chicago,9.0,1558.0,72.0,Spanish,No,No,3.4,Excellent
Daniel Phillips,Male,18,Canada,Collins PLC School,Beijing,7.0,1282.0,90.0,Spanish,Yes,No,0.97,Poor
Jordan Rogers,Female,18,Italy,"Lewis, Oconnor and Delgado School",Cape Town,7.0,1403.0,97.0,German,No,No,2.15,Good
Anna Young,Male,18,South Africa,Ross Inc School,New York,7.0,1368.0,98.0,English,Yes,No,1.83,Average
Matthew Benson,Male,19,Bangladesh,Church-Fletcher School,Paris,9.0,1207.0,67.0,German,No,Yes,0.09,Poor
Thomas Gregory,Male,17,Australia,Bartlett LLC School,Chicago,6.0,1517.0,95.0,English,Yes,No,3.19,Excellent
Laurie Fernandez,Female,17,US,Hicks Group School,Berlin,8.0,1228.0,89.0,French,Yes,Yes,0.46,Poor
Jennifer Griffith,Male,18,Argentina,Carey LLC School,Beijing,9.0,1390.0,70.0,French,No,No,1.82,Average
Kathryn Anderson,Female,17,Egypt,"Odom, Mitchell and Gordon School",Beijing,10.0,1424.0,63.0,Spanish,Yes,Yes,2.08,Good
Melissa Holmes,Male,19,Philippines,Harris-Sanchez School,New York,7.0,1451.0,71.0,English,Yes,No,2.38,Good
Amy Lamb,Male,17,Indonesia,"Kelly, Jones and Graves School",Tokyo,9.0,1475.0,96.0,English,Yes,No,2.82,Good
Jeff Obrien,Female,18,Australia,"Perkins, Hill and Garcia School",London,6.0,1301.0,85.0,French,No,Yes,1.1,Average
Tiffany Jones,Male,19,US,Wallace-Padilla School,New York,9.0,1204.0,89.0,German,No,Yes,0.24,Poor
Thomas Greer,Female,19,South Africa,Miranda and Sons School,Sydney,7.0,1489.0,70.0,French,Yes,No,2.73,Good
Brittany Taylor,Male,18,Japan,Charles-Barker School,Los Angeles,8.0,1414.0,89.0,German,No,Yes,2.19,Good
Brandon Montes,Male,17,South Korea,"Lewis, Cline and Martinez School",Dubai,9.0,1534.0,61.0,English,No,Yes,3.08,Excellent
Michael Herrera,Male,18,Australia,Barton-Mahoney School,Beijing,7.0,1529.0,75.0,English,No,Yes,3.14,Excellent
Alexander Phillips,Female,17,Colombia,Soto PLC School,Sydney,7.0,1537.0,85.0,Spanish,Yes,Yes,3.3,Excellent
Kevin Perez,Male,17,Indonesia,Mcgee Inc School,Berlin,9.0,1394.0,66.0,English,No,No,1.82,Average
Stephen Simon,Female,19,Italy,Daniel Group School,Toronto,9.0,1333.0,93.0,Spanish,Yes,No,1.47,Average
Joseph Cunningham,Male,18,Colombia,"Diaz, Wagner and King School",Los Angeles,9.0,1517.0,69.0,English,No,No,2.99,Good
Terry Miller,Female,19,Nigeria,Mullen-Barrera School,Berlin,9.0,1381.0,86.0,German,No,Yes,1.86,Average
Sarah Schaefer,Female,18,Nigeria,Lee-Jones School,Toronto,8.0,1273.0,76.0,Spanish,Yes,Yes,0.77,Poor
William Hendrix,Female,18,India,"Watkins, Bowen and Williams School",Toronto,7.0,1542.0,84.0,French,No,Yes,3.34,Excellent
Joseph Bass,Female,19,Bangladesh,"Cervantes, Taylor and Brooks School",Phoenix,7.0,1553.0,64.0,Spanish,No,No,3.27,Excellent
Sara Wells,Male,18,Iran,Hendrix LLC School,Houston,7.0,1387.0,61.0,Spanish,Yes,Yes,1.71,Average
Anthony Black,Male,18,Nigeria,Williams-Boyle School,Vancouver,10.0,1230.0,96.0,German,No,Yes,0.55,Poor
Mary Fisher,Female,17,Italy,Stewart-Davidson School,Houston,8.0,1355.0,71.0,Spanish,No,No,1.49,Average
Brian Brown,Male,18,Vietnam,Hansen-Curry School,Phoenix,8.0,1521.0,93.0,English,Yes,Yes,3.22,Excellent
Ronald Jordan,Female,18,France,Washington Ltd School,Vancouver,8.0,1561.0,100.0,German,Yes,Yes,3.65,Excellent
Mary Hernandez,Male,19,Argentina,"Williams, Brown and Green School",Toronto,10.0,1281.0,68.0,Spanish,No,Yes,0.79,Poor
Joseph Miller,Female,19,Nigeria,Peterson LLC School,Vancouver,7.0,1227.0,71.0,German,Yes,No,0.3,Poor
John Smith,Male,18,Iran,Reynolds Group School,Beijing,8.0,1551.0,87.0,German,Yes,Yes,3.45,Excellent
Robert Robinson,Female,17,Australia,Bishop-Esparza School,Moscow,8.0,1356.0,99.0,German,No,No,1.73,Average
Kathleen Yates DVM,Male,17,Mexico,Meza and Sons School,Berlin,8.0,1417.0,97.0,English,No,No,2.28,Good
Meghan Yu,Male,19,Thailand,Mora-Smith School,Paris,6.0,1587.0,80.0,German,No,Yes,3.72,Excellent
Stephanie Clarke,Male,18,China,"Jordan, Smith and Hill School",Dubai,9.0,1227.0,92.0,German,Yes,Yes,0.48,Poor
Carol Rivas,Female,18,US,Prince-Mann School,Berlin,10.0,1459.0,65.0,French,Yes,Yes,2.42,Good
Allison Brandt,Male,17,Russia,Jimenez-Rodriguez School,Paris,8.0,1230.0,99.0,English,Yes,Yes,0.56,Poor
Debra Chang DDS,Female,17,Germany,Harrison-Carroll School,Toronto,9.0,1350.0,99.0,French,No,Yes,1.68,Average
Kimberly Padilla,Female,17,Egypt,Lewis PLC School,Beijing,10.0,1522.0,67.0,German,No,Yes,3.03,Excellent
Michael Ferrell,Female,19,South Africa,"Hampton, Vega and Anderson School",Tokyo,9.0,1373.0,72.0,French,No,Yes,1.68,Average
Connie Matthews,Male,18,Canada,Barry LLC School,Phoenix,7.0,1599.0,64.0,German,Yes,No,3.7,Excellent
Justin Robertson,Female,19,South Korea,Rogers Ltd School,Dubai,8.0,1424.0,71.0,English,Yes,No,2.14,Good
Valerie Dean,Male,18,Turkey,Nguyen-Abbott School,Beijing,8.0,1328.0,93.0,English,Yes,Yes,1.42,Average
Mr. Troy Kelly,Female,19,Australia,"Miller, Paul and Ferguson School",London,8.0,1288.0,75.0,English,No,Yes,0.9,Poor
Alexis Glenn,Female,18,Nigeria,Manning Ltd School,Moscow,9.0,1340.0,64.0,French,Yes,Yes,1.3,Average
Jasmine Glover,Male,17,Turkey,Crane-Perkins School,Moscow,10.0,1349.0,74.0,English,No,Yes,1.47,Average
Michelle Larson,Female,17,Egypt,Nunez Ltd School,Los Angeles,10.0,1227.0,99.0,French,No,Yes,0.54,Poor
Lisa Erickson,Female,17,Vietnam,Hall LLC School,Paris,8.0,1348.0,85.0,French,No,No,1.54,Average
Mr. Christopher Hutchinson,Male,19,India,"Castro, Morton and Mclaughlin School",Phoenix,6.0,1386.0,77.0,English,Yes,No,1.82,Average
Linda Jensen,Male,17,UK,Zimmerman PLC School,New York,10.0,1489.0,67.0,English,No,No,2.72,Good
Carlos Brown,Male,18,Japan,Baker Group School,New York,9.0,1463.0,99.0,French,No,No,2.73,Good
Bonnie French,Male,19,Germany,Stevenson-Dunn School,Vancouver,6.0,1484.0,93.0,Spanish,No,No,2.86,Good
Erin Miller,Male,18,Vietnam,"Porter, Riley and Garcia School",Vancouver,10.0,1203.0,71.0,French,Yes,Yes,0.09,Poor
Stephanie Lindsey,Female,19,Iran,Rogers-Reilly School,Phoenix,9.0,1287.0,63.0,German,No,Yes,0.8,Poor
Craig Payne,Female,18,Bangladesh,Sims LLC School,Vancouver,8.0,1465.0,62.0,Spanish,Yes,No,2.44,Good
Heather Lewis,Female,18,Argentina,Martin-Woods School,Moscow,8.0,1394.0,65.0,German,Yes,Yes,1.81,Average
Xavier Martinez,Female,19,Russia,Hall-Underwood School,London,8.0,1202.0,83.0,French,Yes,Yes,0.17,Poor
Sharon Collins,Male,19,Indonesia,Stokes-Bond School,Toronto,6.0,1522.0,97.0,German,No,Yes,3.25,Excellent
Joseph Tyler,Male,17,India,Knox Group School,Beijing,7.0,1509.0,80.0,English,No,Yes,3.0,Good
Scott Rodriguez,Male,17,UK,Gomez and Sons School,Los Angeles,9.0,1419.0,94.0,Spanish,No,No,2.28,Good
Laura Hill,Male,18,Iran,Richardson PLC School,Berlin,6.0,1227.0,78.0,French,Yes,No,0.35,Poor
Maria Schaefer,Female,18,South Korea,Carroll LLC School,Los Angeles,7.0,1507.0,88.0,English,No,Yes,3.04,Excellent
Michael Carey,Male,18,Thailand,Burton-Williams School,Houston,8.0,1433.0,89.0,English,No,Yes,2.37,Good
Timothy Carr,Male,19,US,Stewart-Lyons School,Beijing,8.0,1513.0,67.0,German,No,No,2.93,Good
Jennifer Wilson,Male,19,Brazil,Price-Wilkins School,Sydney,10.0,1501.0,74.0,German,No,No,2.89,Good
James Brown,Male,17,Iran,Tucker-Adams School,Cape Town,7.0,1521.0,85.0,German,Yes,Yes,3.15,Excellent
Vanessa Olson,Male,18,Colombia,Page-Patterson School,Chicago,7.0,1407.0,63.0,German,No,No,1.91,Average
Jose Austin,Female,17,South Africa,Holden-Bonilla School,Moscow,9.0,1256.0,74.0,Spanish,No,Yes,0.6,Poor
Laura Pugh,Female,19,South Korea,Knight-Preston School,Vancouver,8.0,1468.0,81.0,Spanish,No,No,2.63,Good
Tracy Mueller DDS,Male,19,Bangladesh,"Hughes, Compton and Lewis School",Cape Town,7.0,1448.0,100.0,English,Yes,Yes,2.59,Good
Miguel Green,Female,19,Thailand,"May, Sweeney and Jarvis School",Toronto,8.0,1497.0,79.0,English,No,Yes,2.88,Good
Brooke Oliver,Female,17,Turkey,Gonzales Group School,Sydney,7.0,1268.0,93.0,English,Yes,No,0.86,Poor
Alyssa Jones,Female,19,Turkey,"Wilson, Rodgers and Lane School",Toronto,7.0,1278.0,77.0,English,Yes,No,0.82,Poor
Jennifer Washington,Female,18,US,Chen-Foster School,Moscow,8.0,1556.0,92.0,German,Yes,No,3.54,Excellent
Samuel George,Male,17,South Africa,"Smith, Coleman and Ferguson School",Toronto,8.0,1500.0,84.0,German,Yes,Yes,2.95,Good
Jenna Powell,Male,19,Vietnam,Morrison-Taylor School,Berlin,10.0,1563.0,95.0,German,Yes,No,3.64,Excellent
Derrick Perry,Male,17,Philippines,Scott Group School,Dubai,7.0,1503.0,76.0,Spanish,No,No,2.91,Good
Tammy Benson,Female,17,Colombia,Mcgrath-Cox School,Sydney,8.0,1439.0,84.0,English,Yes,Yes,2.38,Good
Heather Moore,Female,19,Vietnam,Schroeder-Ramos School,Vancouver,9.0,1462.0,85.0,Spanish,No,No,2.61,Good
Shelly Harper,Male,19,Pakistan,Gardner-Stewart School,Moscow,6.0,1556.0,77.0,German,No,No,3.4,Excellent
Roy Cruz,Female,17,Japan,Woodard-Smith School,Beijing,9.0,1432.0,66.0,German,Yes,Yes,2.18,Good
Shawn Vaughn,Female,17,Nigeria,Moran-Spencer School,Houston,7.0,1453.0,64.0,German,Yes,No,2.34,Good
Edward Fisher,Male,19,Pakistan,Skinner PLC School,New York,10.0,1263.0,61.0,Spanish,Yes,No,0.57,Poor
Courtney Hernandez,Female,18,Indonesia,Bradley Group School,Sydney,7.0,1390.0,95.0,English,No,No,2.01,Good
Alan Ashley,Male,17,Brazil,Howell-Fernandez School,Dubai,8.0,1487.0,69.0,Spanish,No,Yes,2.71,Good
Ashley Evans,Male,17,Argentina,"Mason, Jones and King School",New York,6.0,1308.0,68.0,Spanish,Yes,Yes,1.02,Average
Dennis Johns,Female,18,Pakistan,Rodriguez-Ramos School,Cape Town,10.0,1281.0,89.0,Spanish,Yes,No,0.96,Poor
Valerie Combs,Female,19,Turkey,Riley Group School,Toronto,8.0,1326.0,73.0,English,No,Yes,1.24,Average
Larry Navarro,Female,19,South Korea,"Snyder, Stewart and Sanders School",Moscow,8.0,1297.0,80.0,German,Yes,No,1.03,Average
Scott Wyatt,Female,18,Thailand,Norton and Sons School,Sydney,6.0,1286.0,67.0,French,Yes,Yes,0.81,Poor
John Gibson,Male,19,Germany,Shaw-Holt School,New York,9.0,1370.0,98.0,Spanish,No,Yes,1.86,Average
Crystal Sullivan,Female,19,Vietnam,"Wilson, Wood and Miller School",Berlin,7.0,1563.0,94.0,English,No,No,3.61,Excellent
Toni Parker,Male,17,Thailand,Conrad-Moore School,Los Angeles,10.0,1403.0,95.0,English,No,No,2.15,Good
Diane Johnson,Male,17,Egypt,"Jones, Clay and Goodwin School",Berlin,7.0,1275.0,76.0,English,Yes,Yes,0.79,Poor
Molly Robinson,Female,17,Canada,"Woods, Spencer and Young School",Beijing,7.0,1231.0,90.0,Spanish,Yes,No,0.49,Poor
Christopher Richard,Female,18,Germany,Lewis-Evans School,Paris,6.0,1478.0,66.0,German,No,Yes,2.59,Good
