Name,Gender,Age,Country,HighSchoolName,HighSchoolLocation,HSGA,SAT,GAT,Languages,FirstGenerationCollegeStudent,FinancialAidNeeded,CGPA,CGPA_Category
Edwin Jackson,Male,17,France,"Riley, Gutierrez and Martinez School",Paris,8.0,1493.0,62.0,English,Yes,Yes,2.71,Good
Rebecca Campos,Female,17,China,Johnston-Rodriguez School,London,7.0,1443.0,94.0,English,No,Yes,2.49,Good
Juan Hudson,Male,17,Germany,"Johnson, Johnson and Taylor School",Dubai,8.0,1469.0,78.0,Spanish,Yes,Yes,2.61,Good
Angelica Dawson,Female,17,India,Vega-Mason School,Paris,9.0,1232.0,74.0,French,Yes,Yes,0.38,Poor
Andrew Barton,Female,18,Philippines,"Ingram, Davis and Zuniga School",Cape Town,6.0,1581.0,82.0,English,Yes,No,3.68,Excellent
Sydney Sanchez,Female,19,Thailand,"Fischer, Phelps and Davis School",Dubai,7.0,1535.0,64.0,German,No,No,3.11,Excellent
Thomas Snow,Female,17,US,Peterson-Villarreal School,Dubai,9.0,1522.0,90.0,Spanish,Yes,No,3.21,Excellent
Sharon Vasquez,Male,19,Egypt,Valentine Group School,Vancouver,10.0,1529.0,83.0,French,Yes,No,3.22,Excellent
Carla Ward,Female,17,India,Chang-Cisneros School,Los Angeles,8.0,1573.0,67.0,German,No,No,3.5,Excellent
Jared Clark,Male,18,Philippines,Jones-Green School,Houston,8.0,1418.0,68.0,Spanish,Yes,Yes,2.06,Good
Sharon Sanchez,Female,17,Italy,Espinoza-Williams School,Beijing,6.0,1280.0,67.0,Spanish,No,Yes,0.75,Poor
Jonathan Scott,Male,19,South Africa,Jones Ltd School,Los Angeles,8.0,1447.0,62.0,French,Yes,No,2.28,Good
Daniel Andrews,Male,19,Italy,Hall-Price School,Chicago,8.0,1497.0,84.0,French,No,No,2.92,Good
David Smith,Male,18,Nigeria,Maynard-Dominguez School,New York,7.0,1495.0,94.0,German,No,Yes,2.98,Good
Erin Pearson,Female,19,Turkey,"Jordan, Miller and Doyle School",Phoenix,7.0,1409.0,61.0,English,No,Yes,1.91,Average
Angela Pittman,Female,19,Philippines,"Giles, Evans and Brown School",Beijing,8.0,1227.0,62.0,French,Yes,No,0.23,Poor
Erin Rivera,Female,17,Turkey,Thomas Group School,Sydney,6.0,1348.0,83.0,Spanish,No,Yes,1.52,Average
Jack Wall,Female,19,Pakistan,Rogers and Sons School,London,7.0,1568.0,93.0,Spanish,No,No,3.65,Excellent
Ashley Hahn,Female,17,Spain,Burns Inc School,New York,7.0,1434.0,73.0,English,No,Yes,2.24,Good
Courtney Brooks,Female,18,Italy,Thomas LLC School,Vancouver,7.0,1415.0,74.0,Spanish,No,No,2.07,Good
Abigail Harvey,Male,19,Japan,Bowen LLC School,Cape Town,6.0,1308.0,84.0,German,No,No,1.15,Average
Monica Davis,Male,17,Argentina,Cameron Group School,Cape Town,10.0,1347.0,71.0,English,Yes,No,1.43,Average
Stephanie Crosby,Male,19,Pakistan,"Villegas, Harris and Duncan School",Vancouver,8.0,1558.0,61.0,Spanish,No,Yes,3.31,Excellent
Valerie Mills,Female,17,Colombia,Smith-Watkins School,Vancouver,9.0,1467.0,89.0,French,Yes,Yes,2.69,Good
Kimberly Golden,Female,18,US,"Malone, Gonzalez and Hamilton School",New York,9.0,1515.0,85.0,French,Yes,Yes,3.1,Excellent
Catherine Brown,Female,17,Canada,Hanson-Mann School,Vancouver,8.0,1382.0,83.0,French,No,Yes,1.84,Average
Billy Williams,Male,19,India,"Tapia, Morgan and Gallagher School",Dubai,6.0,1452.0,90.0,English,No,No,2.54,Good
Jennifer Gibbs,Male,17,Bangladesh,Vaughn-Ford School,Chicago,8.0,1299.0,87.0,German,Yes,Yes,1.1,Average
Seth Kelley,Female,19,Mexico,"Green, Wade and Wheeler School",London,8.0,1482.0,68.0,English,No,Yes,2.66,Good
Theresa Carter,Male,18,Pakistan,Harris-Smith School,Vancouver,9.0,1371.0,74.0,Spanish,No,Yes,1.67,Average
Ryan Sanchez,Female,17,Egypt,"Hunt, Johnson and Reilly School",London,8.0,1377.0,65.0,German,No,No,1.65,Average
Cassandra Orr,Male,19,Iran,Smith-Johns School,Tokyo,7.0,1460.0,65.0,German,Yes,Yes,2.42,Good
Taylor Lewis,Female,19,Mexico,"Nguyen, Hoover and Mccullough School",Dubai,7.0,1575.0,87.0,English,No,Yes,3.67,Excellent
Stephanie Munoz,Female,19,Thailand,Everett-Reilly School,Paris,7.0,1226.0,94.0,Spanish,Yes,Yes,0.47,Poor
Jessica Martin,Female,17,Turkey,"Allen, Kim and Olsen School",Sydney,9.0,1530.0,99.0,French,Yes,Yes,3.36,Excellent
Gerald Murray,Female,17,Iran,Stone-Petty School,Berlin,8.0,1317.0,85.0,German,No,No,1.25,Average
Benjamin Wright,Male,17,Indonesia,Hamilton-Thompson School,Houston,7.0,1378.0,67.0,Spanish,No,No,1.67,Average
Mr. Alex Thompson,Female,18,Canada,"Saunders, Knox and Ellis School",London,10.0,1209.0,64.0,German,Yes,Yes,0.09,Poor
Amanda Skinner,Male,19,Russia,Gibson PLC School,Dubai,8.0,1320.0,93.0,French,Yes,No,1.34,Average
Ryan Mullen,Female,19,US,Richardson LLC School,Vancouver,7.0,1401.0,83.0,English,Yes,No,2.02,Good
Christopher Love,Male,18,South Africa,Mason LLC School,New York,6.0,1222.0,85.0,English,Yes,No,0.36,Poor
Gina Scott,Female,18,Italy,Fields Group School,Berlin,7.0,1396.0,91.0,French,No,No,2.03,Good
Cynthia Ramos,Male,17,Canada,Jacobs PLC School,Moscow,7.0,1571.0,88.0,English,No,No,3.64,Excellent
Michele Hernandez,Female,17,Argentina,"Peters, Garcia and Black School",Sydney,7.0,1242.0,93.0,English,No,Yes,0.61,Poor
Mary Owen,Female,17,Argentina,"Burton, Cruz and Adams School",Dubai,7.0,1506.0,62.0,Spanish,Yes,Yes,2.83,Good
Vincent Mckinney,Male,17,Vietnam,"Dudley, Calderon and Bean School",Dubai,7.0,1364.0,90.0,German,No,No,1.73,Average
Zachary Montgomery,Male,17,Russia,"Martinez, Young and Foster School",Chicago,7.0,1462.0,94.0,English,No,Yes,2.67,Good
Tracy Lopez,Male,17,Pakistan,Roberts Ltd School,Tokyo,10.0,1304.0,71.0,French,Yes,No,1.03,Average
Jennifer Bender,Male,18,Vietnam,"Orr, Glenn and Hamilton School",Toronto,6.0,1264.0,86.0,Spanish,No,Yes,0.76,Poor
Andrea Martinez,Female,18,Turkey,Fernandez PLC School,Paris,8.0,1264.0,73.0,French,Yes,No,0.66,Poor
Rebecca Garza,Female,18,Philippines,Case-Young School,New York,8.0,1228.0,98.0,French,Yes,Yes,0.53,Poor
Alexis Simpson PhD,Male,19,Pakistan,Johnson-Stone School,Los Angeles,10.0,1274.0,61.0,Spanish,Yes,Yes,0.67,Poor
Carlos Lewis,Male,19,Bangladesh,Collins Ltd School,Tokyo,6.0,1466.0,83.0,French,No,Yes,2.62,Good
Rachel Johnson,Male,17,Canada,"Ashley, Middleton and Robinson School",Moscow,8.0,1553.0,67.0,English,No,Yes,3.31,Excellent
William Rowe,Female,18,Turkey,"Franco, Wheeler and Ramos School",Dubai,10.0,1526.0,88.0,Spanish,No,No,3.24,Excellent
Christopher Peterson,Female,19,Indonesia,Andrews Ltd School,London,9.0,1474.0,67.0,German,Yes,No,2.58,Good
Fernando Gray,Female,19,China,"Jackson, Ewing and Phillips School",Toronto,9.0,1244.0,69.0,French,No,No,0.45,Poor
Sarah Larson,Female,18,Pakistan,"Yang, Moore and Schmidt School",New York,7.0,1316.0,80.0,French,Yes,Yes,1.2,Average
Amanda Harvey,Female,19,Germany,Owen Ltd School,Houston,7.0,1324.0,97.0,German,Yes,Yes,1.41,Average
Veronica Rivera,Male,19,Pakistan,Matthews LLC School,Beijing,9.0,1300.0,68.0,French,No,Yes,0.96,Poor
Peter Schultz,Female,18,Philippines,Smith-Jones School,Phoenix,10.0,1406.0,66.0,English,No,Yes,1.94,Average
Michael Velez II,Female,19,Germany,Garcia LLC School,Beijing,8.0,1414.0,90.0,English,Yes,Yes,2.2,Good
Brian Griffin,Female,18,Canada,Freeman LLC School,Berlin,8.0,1343.0,80.0,German,Yes,No,1.46,Average
James Vasquez DVM,Male,19,South Africa,Jones Group School,Vancouver,7.0,1342.0,96.0,French,Yes,Yes,1.57,Average
Kevin Chase,Female,18,Vietnam,"Taylor, Moore and Shaw School",Chicago,9.0,1531.0,66.0,German,No,Yes,3.1,Excellent
Carl Chen,Female,19,Iran,"Gross, Olson and Johnson School",Chicago,7.0,1516.0,86.0,English,No,Yes,3.11,Excellent
Amanda Wilson,Male,19,Turkey,Weeks Ltd School,Beijing,7.0,1323.0,69.0,French,No,Yes,1.18,Average
Jane Young,Female,18,Indonesia,"Hatfield, Griffin and Campbell School",Vancouver,8.0,1566.0,66.0,English,Yes,Yes,3.42,Excellent
Melissa Medina,Female,19,Brazil,Montgomery LLC School,Cape Town,8.0,1581.0,87.0,Spanish,Yes,Yes,3.73,Excellent
Walter Rivera,Male,18,Philippines,Hill-Kramer School,Sydney,7.0,1331.0,84.0,English,No,Yes,1.37,Average
Timothy Taylor,Female,18,South Africa,Taylor-Mcdaniel School,Los Angeles,6.0,1342.0,90.0,German,No,No,1.52,Average
Kimberly Barry,Male,19,Philippines,Smith-Benjamin School,Chicago,8.0,1402.0,72.0,French,Yes,Yes,1.94,Average
Sarah Bullock,Female,17,Argentina,Leach-Robinson School,Toronto,7.0,1576.0,78.0,English,No,No,3.61,Excellent
Michael Murphy,Female,19,Japan,Jackson Ltd School,Paris,8.0,1551.0,76.0,German,No,No,3.36,Excellent
Sarah Lewis,Female,17,Japan,Collins-Solis School,Dubai,7.0,1241.0,99.0,French,Yes,No,0.65,Poor
Jamie Ford,Male,17,Russia,Hall and Sons School,Cape Town,8.0,1357.0,72.0,Spanish,Yes,No,1.52,Average
Eddie Rhodes,Male,19,China,"Nguyen, Chang and Tucker School",Berlin,8.0,1421.0,72.0,German,No,Yes,2.12,Good
Jessica Prince,Male,17,Argentina,Thompson-Silva School,Beijing,6.0,1401.0,74.0,English,No,No,1.94,Average
Cynthia Cardenas,Male,18,Russia,Lopez-Hunter School,Beijing,7.0,1278.0,83.0,German,Yes,No,0.87,Poor
Andrew Petersen,Male,18,UK,"Myers, Howell and Hood School",Houston,7.0,1544.0,70.0,German,No,No,3.24,Excellent
Robert Mathis,Female,17,Iran,Gonzalez-Ramsey School,Phoenix,6.0,1471.0,97.0,French,No,Yes,2.77,Good
Joseph Daniels,Female,18,Nigeria,Choi-Osborn School,Dubai,10.0,1535.0,71.0,English,No,Yes,3.18,Excellent
Michael Bell,Male,19,France,Cooper-Frost School,Beijing,7.0,1544.0,96.0,French,No,No,3.45,Excellent
Lindsey Arroyo,Male,18,UK,Hoover-Hanson School,Berlin,9.0,1499.0,64.0,Spanish,No,Yes,2.79,Good
Renee Welch,Male,17,Thailand,"Grant, Carpenter and Sherman School",Berlin,7.0,1376.0,86.0,English,Yes,No,1.81,Average
Daniel Reed,Female,19,Indonesia,"Harmon, Medina and Richardson School",Toronto,9.0,1444.0,96.0,Spanish,Yes,No,2.53,Good
Deanna Hensley,Male,18,South Korea,Smith-Medina School,Dubai,9.0,1264.0,67.0,Spanish,Yes,Yes,0.62,Poor
Christian Baldwin,Male,19,Russia,Rodriguez-White School,Sydney,8.0,1469.0,99.0,French,Yes,No,2.78,Good
Kim Kim,Male,17,Spain,Martin-Juarez School,Cape Town,8.0,1272.0,78.0,French,No,Yes,0.78,Poor
Michael Stanley,Male,18,Russia,Frank-Rogers School,Los Angeles,8.0,1478.0,98.0,English,Yes,No,2.86,Good
Paul Trevino,Female,19,Egypt,"Ramirez, Jimenez and Williams School",Dubai,7.0,1292.0,87.0,French,Yes,No,1.03,Average
Deborah Bowen,Female,19,Brazil,Stein Ltd School,Houston,10.0,1247.0,72.0,German,Yes,No,0.51,Poor
Dr. Kimberly Morse,Female,18,Colombia,Nelson-Davis School,Tokyo,9.0,1266.0,68.0,Spanish,Yes,Yes,0.65,Poor
Stacy Taylor,Male,19,France,"Li, Robles and Reid School",New York,10.0,1201.0,72.0,Spanish,No,Yes,0.08,Poor
Christopher Turner,Female,19,Vietnam,Gibbs and Sons School,Paris,6.0,1487.0,64.0,English,No,No,2.66,Good
Brad Anderson,Male,17,Australia,Powers-Robinson School,Los Angeles,9.0,1493.0,66.0,Spanish,No,Yes,2.75,Good
Damon Shelton,Female,17,Iran,"Palmer, Owen and Young School",Dubai,10.0,1406.0,64.0,Spanish,No,Yes,1.92,Average
Laura Wallace,Female,17,Bangladesh,Little LLC School,Tokyo,7.0,1265.0,77.0,German,No,Yes,0.7,Poor
Nancy Houston,Female,17,Canada,Hamilton LLC School,Cape Town,6.0,1233.0,92.0,English,Yes,No,0.52,Poor
Edward Kelley,Female,17,Spain,Peterson-Arias School,Houston,9.0,1208.0,66.0,German,Yes,No,0.09,Poor
George Rogers,Male,17,Indonesia,Castaneda and Sons School,Vancouver,8.0,1266.0,65.0,French,Yes,Yes,0.62,Poor
Logan Little,Female,18,Nigeria,"Smith, Anderson and Manning School",London,9.0,1556.0,86.0,German,Yes,No,3.49,Excellent
Rhonda Dominguez,Male,17,Egypt,Mitchell PLC School,Houston,7.0,1297.0,68.0,Spanish,Yes,Yes,0.93,Poor
Gloria Hurley,Male,19,France,"Johnson, Anderson and Poole School",Berlin,9.0,1342.0,64.0,French,No,Yes,1.32,Average
Kevin Watts,Female,18,Indonesia,"Hernandez, Jones and Huang School",Dubai,7.0,1242.0,67.0,Spanish,No,Yes,0.4,Poor
Leslie Santos,Male,19,Philippines,Moore Ltd School,Moscow,7.0,1289.0,97.0,Spanish,No,No,1.08,Average
Gary Griffin,Female,17,UK,"Everett, Perez and Rich School",Paris,7.0,1408.0,93.0,German,No,Yes,2.16,Good
Matthew Curtis,Female,17,Philippines,Thomas-Long School,Chicago,9.0,1443.0,74.0,French,Yes,No,2.34,Good
Derek Odonnell,Male,19,Thailand,Hart-Mcclain School,Phoenix,9.0,1298.0,86.0,Spanish,No,No,1.09,Average
Paul Ward,Male,19,Philippines,Long Inc School,Chicago,8.0,1223.0,81.0,German,No,Yes,0.34,Poor
Heather Price,Male,19,Indonesia,"Knight, Martinez and Cisneros School",Houston,7.0,1356.0,87.0,English,No,No,1.63,Average
Penny Parker,Female,18,Italy,"Johnson, Alexander and Elliott School",Tokyo,10.0,1294.0,87.0,French,No,Yes,1.06,Average
Sharon Garcia,Female,17,South Korea,"Cobb, Sweeney and Gould School",Toronto,8.0,1288.0,85.0,Spanish,No,Yes,0.98,Poor
Christopher Gonzalez,Female,19,Colombia,Villegas Group School,London,9.0,1584.0,71.0,German,Yes,Yes,3.64,Excellent
Jason Smith,Female,17,Iran,Coleman and Sons School,Paris,8.0,1447.0,62.0,French,No,Yes,2.28,Good
Dawn Wilkins,Female,19,Italy,Finley-Evans School,Los Angeles,8.0,1423.0,78.0,German,No,Yes,2.19,Good
Lisa Long,Female,17,Germany,Peterson-Munoz School,Berlin,8.0,1366.0,96.0,Spanish,Yes,Yes,1.8,Average
John Tate,Female,18,South Africa,"Knight, Fleming and Logan School",Toronto,7.0,1372.0,83.0,French,Yes,Yes,1.74,Average
Jennifer Young,Female,17,India,Johnston Ltd School,Toronto,9.0,1416.0,93.0,German,No,No,2.24,Good
Angela Gomez,Male,19,Vietnam,Jones-Carlson School,Cape Town,8.0,1479.0,100.0,Spanish,No,Yes,2.88,Good
Mr. Kevin Roberts,Male,17,Philippines,"Scott, Rodriguez and Young School",New York,7.0,1481.0,67.0,Spanish,Yes,No,2.63,Good
Justin Cook,Female,18,Australia,Gibbs Group School,Paris,10.0,1269.0,88.0,English,No,No,0.84,Poor
Faith Bryan,Female,18,Japan,Carter-Garcia School,Sydney,8.0,1400.0,87.0,English,Yes,No,2.04,Good
Eric Benson,Female,17,Nigeria,Thomas-Rodriguez School,Vancouver,8.0,1365.0,99.0,German,No,Yes,1.81,Average
Deborah Brown,Female,19,Italy,"Glenn, Holland and Austin School",Toronto,10.0,1548.0,99.0,French,No,Yes,3.53,Excellent
Ann Turner,Male,18,Bangladesh,"Diaz, Morrow and Gonzalez School",Chicago,8.0,1453.0,87.0,Spanish,Yes,Yes,2.54,Good
Adam Ewing,Male,18,Turkey,Wilson PLC School,London,6.0,1413.0,70.0,French,No,Yes,2.02,Good
Renee Sutton,Female,17,UK,Fernandez LLC School,Paris,10.0,1246.0,92.0,German,Yes,No,0.66,Poor
Colleen Davis,Male,18,Vietnam,"Garcia, Bell and Phillips School",Tokyo,9.0,1442.0,64.0,French,No,Yes,2.26,Good
Brittany Medina,Female,18,Pakistan,Perry and Sons School,Phoenix,7.0,1247.0,91.0,English,No,Yes,0.64,Poor
Sara Kaiser,Male,19,Iran,Jones PLC School,Berlin,7.0,1335.0,96.0,German,No,No,1.5,Average
Scott Moore,Male,19,Philippines,Pineda LLC School,Houston,9.0,1257.0,75.0,English,No,Yes,0.62,Poor
William Miller,Male,19,Vietnam,Cooper PLC School,Sydney,8.0,1477.0,85.0,German,No,Yes,2.74,Good
Nicole Young,Female,17,Nigeria,"Ramirez, Hayes and Diaz School",London,8.0,1283.0,77.0,German,Yes,No,0.87,Poor
Troy Smith,Male,18,Australia,Martin LLC School,Los Angeles,10.0,1357.0,78.0,English,No,No,1.58,Average
Diana Harrison,Male,17,Colombia,Nunez Group School,Moscow,9.0,1558.0,72.0,French,No,No,3.4,Excellent
Cynthia Saunders,Male,18,Turkey,"Mcdonald, Mckenzie and Santiago School",Toronto,7.0,1282.0,90.0,French,Yes,No,0.96,Poor
Meredith Stark,Female,18,France,Young Group School,Dubai,7.0,1403.0,97.0,English,No,Yes,2.15,Good
Anthony Ramos,Female,18,Argentina,"Mueller, Cameron and Beard School",Dubai,7.0,1368.0,98.0,French,Yes,No,1.83,Average
Scott Harris,Female,19,Spain,Pierce-Snyder School,Phoenix,9.0,1207.0,67.0,German,Yes,Yes,0.09,Poor
Matthew Jones,Male,17,Canada,Odonnell-Richardson School,Paris,6.0,1517.0,95.0,English,Yes,No,3.19,Excellent
Linda Gonzalez,Female,17,Vietnam,"Velez, Hubbard and Hall School",Houston,8.0,1228.0,89.0,French,No,No,0.46,Poor
Sylvia Gutierrez,Female,18,Brazil,Gaines-Anderson School,Moscow,9.0,1390.0,70.0,German,Yes,No,1.82,Average
Michael Burgess,Male,17,Egypt,Young-Padilla School,Chicago,10.0,1424.0,63.0,Spanish,No,Yes,2.08,Good
Tara Ayers,Female,19,Indonesia,Duncan Ltd School,Cape Town,7.0,1451.0,71.0,English,Yes,Yes,2.39,Good
Travis Welch,Female,17,France,French-Pierce School,Tokyo,9.0,1475.0,96.0,French,No,No,2.82,Good
Michelle Oneill,Male,18,Nigeria,"Brooks, Walker and Villanueva School",Phoenix,6.0,1301.0,85.0,French,No,Yes,1.09,Average
Heidi Lara,Male,19,US,"Mcintyre, Henderson and Morales School",Moscow,9.0,1204.0,89.0,French,Yes,Yes,0.24,Poor
Brian Long,Male,19,Brazil,Garcia Inc School,Vancouver,7.0,1489.0,70.0,French,Yes,No,2.73,Good
Kenneth Mercado,Male,18,Germany,Lawson Inc School,Houston,8.0,1414.0,89.0,German,No,Yes,2.19,Good
Robert Williams,Male,17,China,Richard Group School,Berlin,9.0,1534.0,61.0,German,No,No,3.09,Excellent
Bianca Ortiz,Female,18,Nigeria,"Hamilton, Barber and Gonzalez School",Sydney,7.0,1529.0,75.0,English,No,No,3.14,Excellent
Richard Baker,Female,17,Turkey,Johnson-Edwards School,Sydney,7.0,1537.0,85.0,German,No,Yes,3.3,Excellent
Hannah Clark,Male,17,Japan,Smith Ltd School,Los Angeles,9.0,1394.0,66.0,English,No,Yes,1.82,Average
Erin Ramos,Female,19,Canada,"Caldwell, Evans and Long School",London,9.0,1333.0,93.0,French,Yes,No,1.47,Average
Andrew Nolan,Female,18,Spain,Riley-Sanchez School,New York,9.0,1517.0,69.0,French,Yes,No,2.99,Good
Lisa Ward,Male,19,Argentina,"Ellis, Holland and Anderson School",Moscow,9.0,1381.0,86.0,Spanish,No,No,1.86,Average
Yvonne Taylor,Female,18,Brazil,Jackson Group School,Phoenix,8.0,1273.0,76.0,Spanish,No,No,0.77,Poor
Angela Morales,Male,18,South Korea,Weeks-Ford School,Houston,7.0,1542.0,84.0,Spanish,No,No,3.34,Excellent
Gabriel Nash,Male,19,Thailand,Ramirez PLC School,Chicago,7.0,1553.0,64.0,French,No,Yes,3.28,Excellent
Diana Glass MD,Female,18,US,Padilla Inc School,Tokyo,7.0,1387.0,61.0,Spanish,Yes,Yes,1.71,Average
Robert Morrison,Female,18,Turkey,Smith-Gibson School,London,10.0,1230.0,96.0,French,Yes,No,0.54,Poor
Jason Burke,Female,17,Iran,Roberts and Sons School,Houston,8.0,1355.0,71.0,French,No,Yes,1.5,Average
Lisa Benton,Male,18,Canada,Sosa-Jones School,Berlin,8.0,1521.0,93.0,German,No,No,3.22,Excellent
Joel Vaughan,Male,18,India,Johnson Inc School,Houston,8.0,1561.0,100.0,French,Yes,No,3.65,Excellent
Erica Porter,Male,19,Germany,Klein-Delacruz School,Cape Town,10.0,1281.0,68.0,German,Yes,No,0.79,Poor
James Turner,Male,19,China,Archer-Moore School,Moscow,7.0,1227.0,71.0,English,Yes,Yes,0.3,Poor
Tonya Robertson,Male,18,South Korea,"Griffin, Vargas and Bridges School",Moscow,8.0,1551.0,87.0,French,No,Yes,3.45,Excellent
Gail Moore,Female,17,Iran,Stevens PLC School,Cape Town,8.0,1356.0,99.0,Spanish,Yes,No,1.73,Average
Jason Hawkins,Male,17,Vietnam,Peterson and Sons School,New York,8.0,1417.0,97.0,French,No,Yes,2.28,Good
Derrick Gordon,Male,19,Philippines,Brown Group School,Dubai,6.0,1587.0,80.0,English,Yes,No,3.72,Excellent
Anita Collins,Female,18,Mexico,Carter-Harper School,Beijing,9.0,1227.0,92.0,German,No,Yes,0.47,Poor
Walter Allen,Male,18,Spain,"Hamilton, Byrd and Ortega School",New York,10.0,1459.0,65.0,Spanish,No,Yes,2.43,Good
Carlos Gardner,Female,17,South Africa,"Patton, Jordan and Gilmore School",New York,8.0,1230.0,99.0,French,No,Yes,0.55,Poor
Cynthia Clark,Female,17,Pakistan,"Stephens, Campbell and Herrera School",New York,9.0,1350.0,99.0,Spanish,Yes,Yes,1.68,Average
James Hudson,Male,17,India,Freeman Group School,Paris,10.0,1522.0,67.0,English,Yes,No,3.03,Excellent
Walter Navarro,Female,19,Japan,Pugh-Dawson School,Dubai,9.0,1373.0,72.0,English,Yes,Yes,1.68,Average
Joshua Jordan,Female,18,Egypt,"Moreno, Bell and Heath School",Sydney,7.0,1599.0,64.0,French,No,Yes,3.71,Excellent
George Sparks,Male,19,Philippines,"Wood, Ashley and Harper School",Sydney,8.0,1424.0,71.0,English,No,No,2.14,Good
Amy Dennis,Male,18,Japan,"Williams, Lewis and Anderson School",Paris,8.0,1328.0,93.0,Spanish,Yes,No,1.42,Average
David Gomez,Male,19,Turkey,"Phillips, Smith and Stevens School",Chicago,8.0,1288.0,75.0,Spanish,Yes,No,0.9,Poor
Andrew Roberts,Female,18,Russia,"Gibbs, Wilson and Lindsey School",Phoenix,9.0,1340.0,64.0,German,Yes,No,1.3,Average
Jennifer Fischer,Female,17,Colombia,"Wright, Sanchez and Thomas School",Houston,10.0,1349.0,74.0,German,No,Yes,1.47,Average
Melissa Hawkins DVM,Female,17,South Africa,Gilbert LLC School,Beijing,10.0,1227.0,99.0,English,Yes,Yes,0.54,Poor
Sarah Young,Female,17,Italy,Henderson-Roberts School,Phoenix,8.0,1348.0,85.0,German,Yes,No,1.54,Average
Gary Morris,Male,19,South Korea,"Williams, Perez and Lewis School",Tokyo,6.0,1386.0,77.0,French,No,Yes,1.82,Average
Heidi Martinez,Female,17,Philippines,Hernandez-Sutton School,Chicago,10.0,1489.0,67.0,Spanish,No,No,2.72,Good
Nicholas Palmer,Female,18,Australia,"Campbell, Wheeler and Thompson School",Los Angeles,9.0,1463.0,99.0,Spanish,No,Yes,2.73,Good
David Reed,Female,19,South Korea,Yates Group School,Chicago,6.0,1484.0,93.0,French,No,Yes,2.86,Good
Belinda Moyer,Female,18,Egypt,Brady Group School,Toronto,10.0,1203.0,71.0,German,Yes,Yes,0.09,Poor
Taylor Wilson,Female,19,Philippines,"Singh, Pham and Hill School",Beijing,9.0,1287.0,63.0,German,No,No,0.8,Poor
Crystal Miller,Female,18,Italy,Martinez-Allen School,Tokyo,8.0,1465.0,62.0,German,No,Yes,2.45,Good
Carla Frank,Male,18,China,"Kirk, Alvarez and Burnett School",Tokyo,8.0,1394.0,65.0,English,Yes,No,1.81,Average
Amy Gibson,Female,19,Iran,"Norton, Munoz and Castro School",New York,8.0,1202.0,83.0,English,No,Yes,0.16,Poor
Kyle Davis,Male,19,South Africa,Taylor LLC School,Sydney,6.0,1522.0,97.0,German,No,No,3.25,Excellent
Nicole Harrison,Female,17,Canada,Evans-Martinez School,Toronto,7.0,1509.0,80.0,French,No,Yes,3.0,Good
Dylan Lewis,Male,17,India,"Torres, Nichols and Burgess School",Toronto,9.0,1419.0,94.0,English,Yes,No,2.28,Good
Jade Martin,Female,18,Canada,Robles-Cook School,Cape Town,6.0,1227.0,78.0,German,No,Yes,0.35,Poor
Donna Riley,Male,18,Bangladesh,Gilmore-Lucas School,Toronto,7.0,1507.0,88.0,Spanish,No,No,3.04,Excellent
Joyce Sanford,Male,18,Australia,"Kelley, Gonzalez and Burke School",Phoenix,8.0,1433.0,89.0,Spanish,No,No,2.37,Good
James Burns,Male,19,Brazil,Wilson-Hanson School,London,8.0,1513.0,67.0,German,Yes,No,2.94,Good
April Owen,Female,19,Turkey,"Guzman, Clark and Brown School",Houston,10.0,1501.0,74.0,English,No,No,2.89,Good
Walter Smith,Male,17,Colombia,Padilla and Sons School,Tokyo,7.0,1521.0,85.0,English,No,Yes,3.15,Excellent
David Soto,Male,18,South Africa,Williams Ltd School,Chicago,7.0,1407.0,63.0,French,Yes,Yes,1.91,Average
Michael Baxter,Male,17,Argentina,"Thompson, Garza and Ball School",Toronto,9.0,1256.0,74.0,Spanish,No,Yes,0.6,Poor
Henry Smith,Female,19,Mexico,"Golden, White and Garrett School",Toronto,8.0,1468.0,81.0,Spanish,Yes,No,2.63,Good
Sandra Kaufman,Female,19,UK,"Shannon, Burgess and Simmons School",Los Angeles,7.0,1448.0,100.0,English,No,Yes,2.59,Good
Jason Thompson,Female,19,Colombia,"Camacho, Flores and Lewis School",Dubai,8.0,1497.0,79.0,French,No,Yes,2.88,Good
Robert Martin,Male,17,Nigeria,Flores Inc School,Toronto,7.0,1268.0,93.0,French,No,Yes,0.86,Poor
Desiree Kramer,Female,19,China,"Jennings, Brown and Smith School",Toronto,7.0,1278.0,77.0,German,No,Yes,0.82,Poor
Keith Ryan,Female,18,Iran,"Rocha, Garrett and Johnston School",Moscow,8.0,1556.0,92.0,Spanish,No,Yes,3.54,Excellent
Victoria Elliott,Male,17,Nigeria,"Walker, Garcia and Nguyen School",Dubai,8.0,1500.0,84.0,French,No,No,2.95,Good
Tracy Hughes,Female,19,Iran,Jackson and Sons School,Houston,10.0,1563.0,95.0,English,No,Yes,3.64,Excellent
Philip Sanchez,Female,17,Italy,French Inc School,Dubai,7.0,1503.0,76.0,French,No,No,2.91,Good
Michele Robinson DDS,Male,17,Iran,Anderson-Carpenter School,Sydney,8.0,1439.0,84.0,German,No,No,2.38,Good
Amber Collins,Female,19,Iran,Clark-Wells School,London,9.0,1462.0,85.0,German,Yes,No,2.61,Good
Tracy Palmer,Male,19,Spain,Floyd-Valdez School,Tokyo,6.0,1556.0,77.0,German,No,Yes,3.41,Excellent
